축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
제15회 거창전국 한시백일장대회,거창문화원 공연장,2020-06-25,2020-06-25,"전국한시백일장대회, 공연, 시상,작품집 발간 등",한국한시협회거창지회,거창문화원,,,,,경상남도 거창군 거창읍 수남로 2193-40,,35.6735306791,127.9094199928,2020-02-28,5470000,경상남도 거창군
부처님오신날 연등축제,거창로터리 일원,2020-04-25,2020-04-25,"부처님오신날 불교의식 및 공연, 연등 점등식 등",거창불교사암연합회,거창불교사암연합회,,,,,,경상남도 거창군 거창읍 상림리 60-4,,,2020-02-28,5470000,경상남도 거창군
옥정호 꽃걸음 빛바람 축제,운암면 요산공원,2019-04-27,2019-04-28,"노래자랑, 문화예술공연, 각설이 품바공연, 초청가수 공연, 청소년 가요댄스 경연대회 등",운암면 지역발전협의회,운암면 지역발전협의회,"전라북도, 임실군",063-640-4083,www.옥정호꽃빛.com,N,전라북도 임실군 운암면 입석1길 59,전라북도 임실군 운암면 입석리 427,35.63203851,127.1526815,2020-03-10,4760000,전라북도 임실군
보석대축제,보석테마관광지,2020-04-03,2020-04-12,보석축제,(사)주얼리팰리스협의회,익산시,익산시,063-834-5100,http://www.iksanjewelpalace.com,"보석박물관, 화석전시관",전라북도 익산시 왕궁면 호반로 8,,35.9906135142,127.1025479670,2020-02-25,4680000,전라북도 익산시
천만송이 국화축제,중앙체육공원,2020-10-30,2020-11-08,국화축제,익산시 농업기술센터,익산시,익산시,063-859-4977,http://gukhwa.iksan.go.kr,"국화전시,국화우수작품전시,농산물판매장,체험장",전라북도 익산시 하나로 322,,35.9497295074,126.9861273792,2020-02-25,4680000,전라북도 익산시
익산서동축제,금마서동공원,2020-05-02,2020-05-05,서동축제,익산문화재단,익산시,익산시,063-843-8817,http://seodong.iksan.go.Kr,"세계유산으로등재된 백제유적지구인 미륵사지, 왕궁리유적지",전라북도 익산시 금마면 고도9길 41-14,,36.0015306767,127.0570706378,2020-02-25,4680000,전라북도 익산시
사량도 옥녀봉 축제,사량면 진촌물량장 일원,2020-10-24,2020-10-25,"길놀이, 안전기원제, 어선퍼레이드, 개회식, 특별공연, 면민장기자랑, 경품추첨",사량면주민자치위원회,"통영시, 사량면",사량면 전 기관.단체,055-650-3620,,,경상남도 통영시 사량면 상도일주로 1580-13,경상남도 통영시 사량면 금평리 123-1,34.84549681,128.2197953,2020-02-06,5330000,경상남도 통영시
욕지 섬 문화축제,욕지면 동항(불곡)물량장 일원,2020-10-09,2020-10-10,"욕지고구마축제, 고등어축제, 생활낚시체험 등",욕지개척기념사업위원회,"통영시, 욕지면",욕지면 전 기관.단체,055-650-3580,,"연화도용머리, 출렁다리, 노대군도",경상남도 통영시 욕지면 욕지일주로 77,경상남도 통영시 욕지면 동항리 547-35,34.63336365,128.2650885,2020-02-06,5330000,경상남도 통영시
제20회광안리어방축제,광안리해변 일원,2019-04-24,2019-04-26,"뮤지컬어방, 경상좌수사행렬, 어방그물끌기 한마당, 진두어화, 어방민속마을 등 6개분야 40종목",수영구축제위원회,수영구,,051-610-4062,http://www.suyeong.go.kr/eobang/,,부산광역시 수영구 광안해변로 219,,35.15377436,129.1185216,2020-01-23,3380000,부산광역시 수영구
웅진성수문병 근무교대식,공산성 금서루,2017-04-15,2017-10-29,"수문병 근무교대식,백제왕.왕비복 체험,  옥사체험,    활쏘기 체험 등",웅진문화회,공주시,,041-840-8069,,,충청남도 공주시 웅진로 280,충청남도 공주시 금성동 65-3,36.4652153294,127.1236801780,2019-09-25,4500000,충청남도 공주시
백제 어울마당,공산성,2017-04-15,2017-11-05,"백제기악 미마지탈극, 백제춤추기 체험 등",봉황기획,공주시,,041-840-8069,,,충청남도 공주시 웅진로 28,충청남도 공주시 금성동 65-3,36.465007,127.1236356159,2019-09-25,4500000,충청남도 공주시
봄내예술제,"공지천 야외공연장, 봄내극장, 춘천미술관, 아트플라자갤러리, 국립춘천박물관",2019-05-10,2019-05-29,"전시, 음악회, 가요제, 국악무용, 연극 등","춘천예총, G1강원민방",춘천예총,"춘천시, 춘천시문화재단, 강원문화재단, 강원도예총, 강원일보, 강원도민일보",033-243-4360,http://www.bomnaeart.com,,강원도 춘천시 서부대성로 71 춘천예술마당,강원도 춘천시 옥천동 73-2,37.8825273363,127.731333,2019-08-30,4180000,강원도 춘천시
김유정추모제,김유정생가마당,2019-03-29,2019-03-29,"추모공연, 추모사, 추모문집 봉정, 추모글 낭독 등",(사)김유정기념사업회,"춘천시, (사)김유정기념사업회",춘천시문화재단,033-261-4650,http://www.kimyoujeong.or.kr,,강원도 춘천시 신동면 김유정로 1430-14,,37.81831318,127.717698,2019-08-30,4180000,강원도 춘천시
춘천인형극제,춘천인형극장 등,2019-09-28,2019-10-03,"개막퍼레이드, 인형극 경연 및 공연 등",(재)춘천인형극제,(재)춘천인형극제,춘천시,033-242-8452,http://cocobau.com/,,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3,37.9210964,127.7201051934,2019-08-30,4180000,강원도 춘천시
동작가족한마음축제,보라매공원,2019-10-19,2019-10-19,"구민체육대회, 축하공연, 동작가족미니랜드, 주민체험부스 운영 등",동작가족한마음축제 추진위원회,동작구 체육회,,02-820-1321,없음,없음,서울특별시 동작구 여의대방로20길 33,서울특별시 동작구 신대방동 395,37.4904089159,126.9179571941,2020-03-11,3190000,서울특별시 동작구
동작구 도서관 축제,보라매공원,2020-05-30,2020-05-30,"도서관 홍보, 도서전시, 공연, 체험프로그램 운영 등",동작구 교육정책과,동작구도서관협의회,,02-820-1294,동작구통합도서관(http://lib.dongjak.go.kr),,서울특별시 동작구 노량진로 74,서울특별시 동작구 대방동 49-6,37.5127202793,126.9333200974,2020-03-11,3190000,서울특별시 동작구
2020 동작복지나눔축제,관내 대학교 등(미정),2020-09-05,2020-09-05,"사회복지의 날 기념식, 복지나눔콘서트, 오색복지 체험·나눔부스 등",동작구지역사회보장협의체·축제추진위원회,동작구,,02-820-9542,없음,없음,서울특별시 동작구 상도로 369,서울특별시 동작구 상도동 511,37.4964296003,126.9551598394,2020-03-11,3190000,서울특별시 동작구
4.19혁명 국민문화제 2019,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,2019-04-13,2019-04-19,4.19기념 국민문화제,4.19혁명 국민문화제위원회,4.19 3개단체 및 서울특별시 강북구청,국가보훈처 서울특별시  서울특별시 교육청  KBS,02-901-6206,www.festival419.org,,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,37.63918553,127.0254518,2019-11-18,3080000,서울특별시 강북구
봉황각 3.1독립운동 재현행사,서울특별시 강북구 우이동 봉황각 일원,2019-03-01,2019-03-01,도선사 타종  독립선언문 낭독  길놀이 및 태극기 거리행진,서울특별시 강북구청,서울특별시 강북구청,강북문화발전협의회  천도교 중앙총부  티브로드,02-901-6207,www.gangbuk.go.kr,,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,37.66053059,127.0064736,2019-11-18,3080000,서울특별시 강북구
2019 안양 시민축제,"평촌중앙공원,병목안시민공원,범계로데오",2019-09-20,2019-09-22,"시민공연마당, 전시체험부스, 개폐막 축하공연, 방송국 공개방송, 안양시민의날 기념식, 안양시민가요제 등",(재)안양문화예술재단,"경기도 안양시, 안양축제추진위원회",,031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,2019-12-09,3830000,경기도 안양시
성류문화제,울진엑스포공원,2019-10-11,2019-10-13,전통문화체험,울진문화원,울진군,,054-789-6891,,,경상북도 울진군 근남면 성류굴로 221,경상북도 울진군 근남면 노음리 849-1,36.957175,129.379074,2019-09-25,5250000,경상북도 울진군
울진금강송송이축제와 친환경농산물축제,울진엑스포공원,2019-10-03,2019-10-06,"울진금강송송이와 친환경농산물 전시, 체험행사 등",울진군축제발전위원회,울진군,,054-789-5485,http://www.uljin.go.kr/songi,"송이경매, 체험",경상북도 울진군 근남면 친환경엑스포로 25,경상북도 울진군 근남면 수산리 346,36.968686,129.401084,2019-09-25,5250000,경상북도 울진군
"제9회 낙동강 구포나루 축제(잠정연기, 하반기 예정)",화명생태공원 선착장 일원,2019-05-17,2019-05-19,감동 민속촌/밀사리체험/바비큐체험/구포국수체험 등,(사)북구문화관광축제조직위원회,(사)북구문화관광축제조직위원회,부산광역시 북구청,051-309-4522,http://www.guponarufes.co.kr,낙동민속예술제,부산광역시 북구 낙동대로1570번길 33(구포동),부산광역시 북구 구포동 1124-1,35.19688402,128.9900968,2020-04-07,3320000,부산광역시 북구
울산쇠부리축제,북구청광장,2019-05-10,2019-05-12,"체험,전시,학술 등",울산쇠부리축제 추진위원회,울산광역시 북구청,,052-241-8758,www.soeburi.org,,울산광역시 북구 산업로 1010,울산광역시 북구 연암동 1004-1,35.5827088139,129.3612558544,2019-12-20,3720000,울산광역시 북구
제15회 영등포 여의도 봄꽃축제,여의서로 일대(국회의사당 뒤편),2019-04-05,2019-04-11,"공연, 문화, 전시, 체험",영등포문화재단,영등포구,"서울특별시, 우리은행, 산업은행",02-2670-3128,www.ydp.go.kr www.ydpcf.or.kr,,서울특별시 영등포구 의사당대로 1,서울특별시 영등포구 여의도동 1,37.5329135959,126.9164036415,2019-12-20,3180000,서울특별시 영등포구
2020 태화강 국제 재즈페스티벌,태화강국가정원 야외공연장,2020-05-16,2020-05-17,"국·내외 재즈가수 공연, 부대행사 등",울산매일신문사,울산매일신문사,"울산광역시,울산광역시 중구",052-290-3663,,,울산광역시 중구 태화동 107,울산광역시 중구 태화동 107,35.5500783713,129.2990793442,2019-12-19,3690000,울산광역시 중구
2016 대가야체험축제,"대가야박물관, 대가야역사테마관광지, 대가야문화누리, 관내 일원",2016-04-07,2016-04-10,"36개 체험프로그램, 이조년 전국백일장 등 연계행사, 대가야박물관 기획특별전 등 부대행사, 역사재현극 등",사)대가야체험축제추진위원회,고령군,"문화체육관광부, 경상북도, 경상북도교육청, 한국문화원연합회, 가야문화권지역발전협의회 14개시군, 자매결연기관, 경상북도관광협회, 농협중앙회, 대구은행",054-950-6424,http://fest.daegaya.net,,경상북도 고령군 대가야읍 대가야로 1216,경상북도 고령군 대가야읍 지산리 471-1,35.7210761376,128.2601558557,2019-09-30,5200000,경상북도 고령군
제14회 거창단오제,복합문화단지 야외공연장,2020-06-25,2020-06-25,"개막식, 전통혼례, 풍물공연, 읍면 윷놀이 대회, 투호놀이, 공예 등 민속전시 및 체험 등",거창문화원,거창문화원,,,,,경상남도 거창군 거창읍 수남로 2193-40,,35.6735306791,127.9094199928,2020-02-28,5470000,경상남도 거창군
2019 대한민국 온천대축제,석정온천관광지 일원,2019-10-02,2019-10-06,"온천수 칵테일쇼 및 시음행사, 달빛버스킹, 온천3종경기, 리마인드 프러포즈 등","행정안전부, 전라북도","고창군, (특)한국온천협회","대한온천학회, 한국관광공사",063-560-2952,www.gochang.go.kr/culture/board/view.gochang?boardId=BBS_0000220&meCd=DOM_000000603001010000&startPage=1&dataSid=397852,"개막식, 고창실버타워동호회 공연, 고창예술단체 공연 등",전라북도 고창군 고창읍 석정2로 153,전라북도 고창군 고창읍 석정리 727,35.4311962737,126.7383543955,2019-09-30,4780000,전라북도 고창군
가족사랑 아이스축제,이현공원물놀이장,2019-07-27,2019-07-27,"온가족 참여 체험 프로그램, 플리마켓 및 체험부스 등",공모 선정,공모 선정,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 문화로 122,대구광역시 서구 이현동 48-8,35.873636,128.5454765947,2019-09-24,3430000,대구광역시 서구
달성토성마을축제,달성토성 둘레길,2019-04-27,2019-04-27,"골목정원투어, 거리 퍼레이드 등",달성토성마을골목축제 조직위원회,달성토성마을골목축제 조직위원회,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 국채보상로 81길 43,대구광역시 서구 비산동 125-22,35.8758308,128.5747396,2019-09-24,3430000,대구광역시 서구
여르미오페스티벌,안산시 문화광장,2015-08-08,2015-08-08,대중예술축제,안산문화재단,안산문화재단,,031-481-4030,http://www.ansanfset.com,대부도,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2020-03-02,3930000,경기도 안산시
안산M밸리록페스티벌,대부도바다향기테마파크,2015-07-24,2015-07-26,록페스티벌,CJ E&M,CJ E&M,안산시,1566-2226,http://valleyrockfestival.mnet.com/,"대부도유리섬, 종이미술관, 대부해솔길, 탄도항",경기도 안산시 단원구 대부황금로 1490(대부북동),경기도 안산시 단원구 대부북동 1841-27,37.287067,126.575056,2020-03-02,3930000,경기도 안산시
제8회 세계인의 날 기념행사,외국인주민센터 야외광장,2015-05-17,2015-05-17,"기념식, 문화 및 각종 부대행사",안산시,안산시,중부일보,031-481-3298,,원곡동 다문화거리,경기도 안산시 단원구 부부로 43,경기도 안산시 단원구 원곡동 991-1,37.332436,126.790343,2020-03-02,3930000,경기도 안산시
오대산문화축전,오대산 월정사,2019-10-02,2019-10-06,산사음악회+전시+불교문화체험,월정사,강원도 평창군,강원도,033-339-6800,http://www.woljeongsa.org,주변관광지 및 행사정보제공,강원도 평창군 진부면 오대산로 413-28,강원도 평창군 진부면 동산리63-9,37.7341253,128.5877722,2019-09-19,4280000,강원도 평창군
평창백일홍축제,평창읍 일원,2019-09-06,2019-09-15,백일홍 포토죤+ 문화예술공연,평창백일홍축제위원회,강원도 평창군,평창군,033-333-6033,http://www.101hongfestival.co.kr,주변관광지 및 행사정보제공,강원도 평창군 평창읍 평창중앙로 27-28,강원도 평창군 평창읍 하리 139-2,37.367265,128.3945387,2019-09-19,4280000,강원도 평창군
평창효석문화제,봉평면 효석문화마을,2019-09-07,2019-09-15,메밀꽃 포토존+ 문화예술체험 및 공연,이효석문학선양회,강원도 평창군,"문화체육관광부,강원도, 한국관광공사",033-335-2323,http://www.hyoseok.com,주변관광지 및 행사정보제공,강원도 평창군 봉평면 이효석길 157,강원도 평창군 봉평면 원길리 764-1,37.6140307,128.3715931,2019-09-19,4280000,강원도 평창군
평창더위사냥축제,대화면 대화리 땀띠공원 일원,2019-07-26,2019-08-04,캠핑체험+물놀이+땀띠귀신사냥 워터워,평창더위사냥축제위원회,강원도 평창군,평창군,033-334-2277,http://www.summercamp.kr,주변관광지 및 행사정보제공,강원도 평창군 대화면 해뜰마을길 49-7,강원도 평창군 대화면 대화리 1150-3,37.5029817,128.4509361,2019-09-19,4280000,강원도 평창군
대관령눈꽃축제,대관령면 횡계리 송천일원,2019-01-18,2019-01-27,눈조각전시+눈썰매체험,대관령면축제위원회,강원도 평창군,평창군,033-335-3995,http://www.snowfestival.net,주변관광지 및 행사정보제공,강원도 평창군 대관령면 장선길 28,강원도 평창군 횡계리 661-29,37.670709,128.704625,2019-09-19,4280000,강원도 평창군
평창송어축제,진부면 오대천일원,2018-12-22,2019-01-27,송어얼음낚시+송어맨손잡기,평창송어축제위원회,강원도 평창군,"문화체육관광부,강원도, 한국관광공사",033-336-4000,http://www.festival700.or.kr,주변관광지 및 행사정보제공,강원도 평창군 진부면 경강로 3562,강원도 평창군 진부면 하진부리 325,37.633141,128.556979,2019-09-19,4280000,강원도 평창군
제주 라프 별빛축제,다희연,2018-11-01,2019-03-15,"빛을 매개로 한 설치, 조형 예술 작품을 감상할 수 있는 축제",(주)아트플레쉬,(주)아트플레쉬,,064-784-9030,https://www.jejulaf.com/,,제주특별자치도 제주시 조천읍 선교로 115-1,,33.4868384,126.7070130,2019-06-17,6500000,제주특별자치도
제주윈터페스티벌,제주 칠성로상점가,2018-12-20,2019-01-06,제주시 원도심에서 즐길 수 있는 제주의 겨울,제주특별자치도. 제주관광공사,제주특별자치도. 제주관광공사,,064-740-6000,http://www.facebook.com/jejuwinterfestival,,제주특별자치도 제주시 관덕로15길 15,,33.5146078,126.5265933,2019-06-17,6500000,제주특별자치도
서귀포겨울바다 국제펭귄수영대회,중문색달해수욕장,2019-01-01,2019-01-01,"일종의 극기체험을 통해 묵은해의 흔적을 지우고, 희망찬 새해를 설계하며 강한 정신력을 고취시키는 겨울 이벤트",사단법인 서귀포시관광협의회,서귀포시,,064-739-7201,http://cafe.daum.net/winter-sea-swim,,제주특별자치도 서귀포시 중문관광로 154-17,,33.2444327,126.4161942,2019-06-17,6500000,제주특별자치도
성산일출축제,성산일출봉 일원,2018-12-30,2019-01-01,성산일출봉에서 새해 첫 일출을 다 함께 반기는 축제,제주특별자치도,제주특별자치도,,064-760-4282,http://www.sunrisefestival.kr/,,제주특별자치도 서귀포시 성산읍 일출로 284-12,,33.4621467,126.9364271,2019-06-17,6500000,제주특별자치도
여수마칭페스티벌,이순신광장,2019-10-26,2019-10-27,거리퍼레이드+마칭쇼+관악체험프로그램,여수마칭페스티벌추진위원회,여수시,,,,,전라남도 여수시 이순신광장로 95,전라남도 여수시 중앙동 383,34.7392244464,127.7365808142,2019-06-03,4810000,전라남도 여수시
봉산미술제,봉산문화거리,2012-10-12,2012-10-18,화랑기획전 및 부대행사,봉산문화협회,봉산문화협회,"대구광역시, 대구광역시 중구",053-661-2177,,,대구광역시 중구 봉산문화길,대구광역시 중구 봉산동,35.863797,128.596776,2019-06-20,3410000,대구광역시 중구
은행나무길 축제,곡교천 은행나무길,2019-10-24,2019-10-27,"공연, 프리마켓, 거리공연",(재)아산문화재단,충청남도 아산시,,041-540-2550,http://culture.asan.go.kr/_ginko/,,충청남도 아산시 염치읍 백암리 502-3,충청남도 아산시 염치읍 백암리 502-3,,,2019-09-23,4520000,충청남도 아산시
짚풀문화제,아산 외암민속마을,2019-10-11,2019-10-13,"전통혼례재연·떡메치기 등 33여개 전통체험운영, 짚풀공예품 등 각종 전시, 국악공연·마물놀이 등 공연",외암민속마을보존회,충청남도 아산시,,041-536-8458,http://oeam.co.kr/oeam/skin1/sub_page.php?page_idx=267,,충청남도 아산시 송악면 외암민속길9번길 13-2,충청남도 아산시 송악면 외암리 203,36.7309932917,127.014409,2019-09-23,4520000,충청남도 아산시
도고 코미디 핫 페스트 IN 아산,파라다이스도고 잔디광장,2018-09-28,2018-09-30,"개폐막식, 코미디공연, 거리공연 및 부대행사",(재)아산문화재단,충청남도 아산시,,041-540-2550,http://showtimehall.co.kr/dcf/,,충청남도 아산시 도고면 도고온천로 176,충청남도 아산시 도고면 기곡리 180-1,36.7655156467,126.8879981897,2019-09-23,4520000,충청남도 아산시
설화예술제,신정호 야외음악당 및 이순신체육관,2019-09-27,2019-09-29,"개폐막식, 지역예술인창작발표 공연 및 전시",(사)한국예총 아산지회,충청남도 아산시,,041-540-2087,,,충청남도 아산시 신정로 616 신정호공원,충청남도 아산시 방축동 5,36.7726073525,126.9831402693,2019-09-23,4520000,충청남도 아산시
신정호 별빛축제,아산시 신정호 야외음악당 및 잔디 일원,2019-08-01,2019-08-10,"영화상영, 시네마토크, 지역예술단체공연",(재)아산문화재단,충청남도 아산시,,041-540-2550,http://culture.asan.go.kr/_sinjungho/,,충청남도 아산시 신정로 616 신정호공원,충청남도 아산시 방축동 5,36.7726073525,126.9831402693,2019-09-23,4520000,충청남도 아산시
아산성웅이순신축제,온양온천역 광장 및 시내일원,2019-04-24,2019-04-28,"승전행렬 퍼레이드, 개폐막공연, 전시체험 및 기타부대행사",(재)아산문화재단,충청남도 아산시,,041-540-2550,http://culture.asan.go.kr/_esunshin/2017/index.asp,,충청남도 아산시 온천대로 1496 온양온천역,충청남도 아산시 온천동 56-9,36.7807439138,127.0022181036,2019-09-23,4520000,충청남도 아산시
서천철새여행,조류생태전시관 일원,2020-11-22,2020-11-24,철새 탐조 및 철새 관련 문화행사,서천철새여행추진위원회,서천군,없음,041-950-4256,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 마서면 장산로 916,충청남도 서천군 마서면 도삼리 59,36.0228004563,126.7426918054,2020-03-25,4580000,충청남도 서천군
한산모시문화제,한산모시관 일원,2020-06-12,2020-06-14,한산모시를 주제로 하는 다양한 프로그램 운영,한산모시문화제추진위원회,서천군,"문화체육관광부, 충청남도, 농협 등",041-950-4256,www.hansanmosi.kr/,"축제 일정, 프로그램",충청남도 서천군 한산면 충절로 1089,충청남도 서천군 한산면 지현리 60-1,36.0799445,126.7987047,2020-03-25,4580000,충청남도 서천군
홍원항 자연산 전어.꽃게 축제,서면 홍원항 일원,2020-09-19,2020-10-04,"맨손으로 전어 잡기 체험, 추억의 놀이 체험, 숨겨진 보물을 찾아라, 비눗방울 놀이 등",홍원항마을축제추진위원회,홍원항마을축제추진위원회,없음,041-950-4016,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 홍원길 130-3,충청남도 서천군 서면 도둔리 1222-7,36.1588600000,126.4992204,2020-03-25,4580000,충청남도 서천군
마량포 해넘이.해돋이 축제,서면 마량포구 일원,2020-12-31,2021-01-01,"새해 떡국나눔행사, 불꽃놀이, 버스킹 공연, 소원등 달기",서면개발위원회,서천군,없음,041-950-4019,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,36.1293642,126.5036472,2020-03-25,4580000,충청남도 서천군
자연산 광어.도미 축제,서면 마량포구 일원,2020-05-16,2020-05-31,"맨손으로 광어잡기 체험, 기념공원에서 보물찾기",서면개발위원회,서면개발위원회,없음,041-950-4016,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,36.1293642,126.5036472,2020-03-25,4580000,충청남도 서천군
정월대보름행사,영천강변공원 등 영천시 일원,2019-02-19,2019-02-19,"정월대보름에 전통문화공연및 체험, 달집태우기, 떡국나눠먹기, 국악공연 등",영천시청년연합회,영천시청년연합회,경상북도 영천시,054-336-2727,,매년 음력 정월대보름에 개최되나 2019년은 구제역발생으로 취소됨.,"경상북도 영천시 천문로 323, 1층(괴전동)","경상북도 영천시 과전동 121-1, 1층",35.96656577,128.9312498,2019-11-15,5100000,경상북도 영천시
영천보현산별빛축제,보현산천문과학관 일원,2019-06-14,2019-06-16,"주제관 운영, 천문우주과학테마 체험부스 운영, 스타파티, 누워서 별보기, 문화공연 등",영천보현산별빛축제위원회,경상북도 영천시,경상북도,054-330-6702,https://www.yc.go.kr/toursub/star/,,경상북도 영천시 화북면 별빛로 681-32,경상북도 영천시 화북면 정각리 689,36.1402484562,128.9967122,2019-11-15,5100000,경상북도 영천시
영천문화예술제,영천강변공원 등 영천시 일원,2019-09-27,2019-09-29,"영천아리랑 별곡, 생활문화콘서트, 마상재, 조선통신사 행렬, 신 전별연",영천문화예술제 추진위원회,영천문화예술제 추진위원회,경상북도 영천시,054-330-6937,https://www.yc.go.kr/tour/contents.do?mId=0709030000,,,경상북도 영천시 문외동 137-5(번지 일원 영천강변공원),35.9730714,128.9328273,2019-11-15,5100000,경상북도 영천시
영천한약축제,영천한의마을,2019-09-27,2019-09-29,"한방명의관, 전시체험 부스운영, 한방공연 등",영천한약축제추진위원회,영천한약축제추진위원회,경상북도 영천시,054-339-7187,https://www.yc.go.kr/toursub/herb,영천한의마을,,경상북도 영천시 화룡동 128,35.9775233,128.9218161,2019-11-15,5100000,경상북도 영천시
제17회 고양 연등문화축제,고양시 화정중앙공원,2019-05-01,2019-05-01,봉축법회 봉행+전통문화 재현,고양시불교사암연합회,고양시불교사암연합회,,031-969-0108,,,경기도 고양시 덕양구 화신로260번길 26,경기도 고양시 덕양구 화정동 985,37.63173966,126.832994,2019-12-05,3940000,경기도 고양시
2019 도서지역 학교미디어교육 죽변중학교 미디어캠프,경북 울진 죽변중학교,2019-09-16,2019-09-18,도서지역 찾아가는 미디어교육을 통한 도서지역 학생들의 미디어 접근권 제고 및 미디어역량 강화,시청자미디어재단 울산시청자미디어센터,시청자미디어재단 울산시청자미디어센터,,052-960-7023,http://kcmf.or.kr/comc/ulsan/,,울산광역시 북구 명촌10길 78,,35.5559099404,129.3598694097,2019-11-04,B553505,시청자미디어재단
2019 청년일자리 희망한마당,울산대학교 체육관,2019-10-28,2019-10-28,"취업 준비 고교생, 대학생, 취업준비생, 일반인 대상 미디어계 유망 직업에 대한 채용 정보 제공","시청자미디어재단 울산시청자미디어센터, 경상일보",경상일보,,052-960-7023,http://kcmf.or.kr/comc/ulsan/,,울산광역시 북구 명촌10길 78,,35.5559099404,129.3598694097,2019-11-04,B553505,시청자미디어재단
2019 시청자의 밤 (날짜미정),울산시청자미디어센터,2019-12-01,2019-12-31,"개관 3주년을 기념하고 2019년도 성과를 평가, 공유하기 위한 시민, 강사 참여 미디어 축제",시청자미디어재단 울산시청자미디어센터,시청자미디어재단 울산시청자미디어센터,,052-960-7023,http://kcmf.or.kr/comc/ulsan/,,울산광역시 북구 명촌10길 78,,35.5559099404,129.3598694097,2019-11-04,B553505,시청자미디어재단
1인미디어콘텐츠공모전,미정,2019-10-15,2019-12-24,1인 미디어 시대에 울산 지역 크리에이터 진흥과 콘텐츠 강화를 위한 공모전 실시,"시청자미디어재단 울산시청자미디어센터, 경상일보",경상일보,울산광역시 남구,052-960-7023,http://kcmf.or.kr/comc/ulsan/,,울산광역시 북구 명촌10길 78,,35.5559099404,129.3598694097,2019-11-04,B553505,시청자미디어재단
2019''모두가 노동자''영상공모전,울산시청자미디어센터,2019-09-30,2019-12-20,"일하는 모든 사람이 노동자라는 인식을 제고하고, 시민이 직접 ''노동''이라는 주제로 영상을 제작하는 노동자 영상공모전",시청자미디어재단 울산시청자미디어센터,"방송통신위원회, 시청자미디어재단 울산시청자미디어센터","울산광역시 , KBS울산방송국, 울산MBC, UBC울산방송",052-960-7023,http://kcmf.or.kr/comc/ulsan/,,울산광역시 북구 명촌10길 78,,35.5559099404,129.3598694097,2019-11-04,B553505,시청자미디어재단
2019 자유학기제 맞춤형미디어교육 수륜 온 더 미디어캠프,경북 수륜중학교,2019-08-07,2019-08-09,"도서지역 청소년들의 방학 내 집중 미디어교육 및 미디어 역량 강화, 미디어 접근성 확대를 위한 맞춤형 미디어 캠프",시청자미디어재단 울산시청자미디어센터,시청자미디어재단 울산시청자미디어센터,미정,052-960-7023,http://kcmf.or.kr/comc/ulsan/,,울산광역시 북구 명촌10길 78,울산광역시 북구 명촌동 666-2,35.5559099404,129.3598694097,2019-11-04,B553505,시청자미디어재단
2019 울대경 청소년미디어캠프 ''''함성소리'''',대구 가산산성,2019-08-01,2019-08-03,"울산, 대구, 경북 지역에서 미디어 관련 활동 중인 청소년의 교류의 장 마련, 청소년의 미디어 역량 강화 및 진로 탐색 기회 제공","울산시청자미디어센터, 대구MBC시청자미디어센터, 대구영상미디어센터","울산시청자미디어센터, 대구MBC시청자미디어센터, 대구영상미디어센터",미정,052-960-7035,http://kcmf.or.kr/comc/ulsan/,,울산광역시 북구 명촌10길 78,울산광역시 북구 명촌동 666-2,35.5559099404,129.3598694097,2019-11-04,B553505,시청자미디어재단
정월대보름달맞이축제,신천변 생활체육광장,2011-02-17,2011-02-17,"달집태우기, 민속놀이, 먹거리 등",민주평화통일자문회의중구지회,대구광역시 중구,대구광역시 중구,053-661-2631,,,대구광역시 중구 국채보상로139길,대구광역시 중구 동인동2가,35.869360,128.606226,2019-06-20,3410000,대구광역시 중구
안산국제거리극축제,안산시 문화광장,2015-05-01,2015-05-03,순수예술축제,안산시,안산문화재단,안산시,031-481-4030,http://www.ansanfset.com,대부도,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2020-03-02,3930000,경기도 안산시
